
Solution: (0,9) (1,1) (2,12) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (10,29) (11,46) (12,48) (15,33) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (28,27) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 17


Solution: (0,9) (1,1) (2,12) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (10,29) (11,46) (12,48) (15,33) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 16

Solution: (0,9) (1,1) (2,12) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (10,29) (11,46) (12,48) (15,33) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 16


Solution: (0,9) (1,1) (2,12) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (14,29) (15,33) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 15

Solution: (0,9) (1,1) (2,12) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (14,29) (15,33) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 15


Solution: (0,9) (1,1) (2,12) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (14,29) (15,33) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (26,32) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 15


Solution: (0,9) (0,32) (1,1) (2,12) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (14,29) (15,33) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 14

Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (14,29) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 13

Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (14,29) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (29,49) (30,35) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 13


Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,36) (25,43) (26,19) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 12

Solution: (0,9) (0,32) (1,1) (2,12) (2,33) (3,15) (3,24) (4,7) (4,20) (5,41) (6,2) (7,21) (8,5) (9,3) (11,46) (12,48) (13,35) (14,29) (15,42) (16,17) (17,34) (18,23) (19,38) (20,6) (21,8) (22,45) (23,30) (24,26) (25,43) (26,19) (28,36) (29,49) (31,11) (32,4) (33,37) (34,0) (35,39) (36,31) (37,25) (38,14) (39,10) (41,40) (42,27) (43,47) (44,28) (45,13) (46,44) (47,16) (48,18) (49,22) 
# pairs of queens attacking each other: 11

